Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
8116;24/01/2019 - 12:45;228,165;58,37999999;0;0,96879025;Fora Ponta
8115;24/01/2019 - 12:30;224,07;55,64999999;0;0,97051587;Fora Ponta
8114;24/01/2019 - 12:15;220,92;55,01999999;0;0,97035914;Fora Ponta
8113;24/01/2019 - 12:00;213,465;53,55;0;0,96994572;Fora Ponta
8112;24/01/2019 - 11:45;211,575;52,815;0;0,97022741;Fora Ponta
8111;24/01/2019 - 11:30;208,11;51,97499999;0;0,97020006;Fora Ponta
8110;24/01/2019 - 11:15;205,695;53,12999999;0;0,96822329;Fora Ponta
8109;24/01/2019 - 11:00;205,17;51,86999999;0;0,96949701;Fora Ponta
8108;24/01/2019 - 10:45;212,625;53,76;0;0,9694913;Fora Ponta
8107;24/01/2019 - 10:30;213,465;54,495;0;0,968925;Fora Ponta
8106;24/01/2019 - 10:15;215,565;56,69999999;0;0,96710503;Fora Ponta
8105;24/01/2019 - 10:00;217,035;55,44;0;0,96888901;Fora Ponta
8104;24/01/2019 - 09:45;216,195;55,96499999;0;0,96808989;Fora Ponta
8103;24/01/2019 - 09:30;222,6;56,91;0;0,96883841;Fora Ponta
8102;24/01/2019 - 09:15;219,135;57,015;0;0,96777957;Fora Ponta
8101;24/01/2019 - 09:00;220,71;57,435;0;0,96776866;Fora Ponta
8100;24/01/2019 - 08:45;212,415;54,39;0;0,96874652;Fora Ponta
8099;24/01/2019 - 08:30;218,82;55,125;0;0,96970298;Fora Ponta
8098;24/01/2019 - 08:15;214,2;53,75999999;0;0,96991834;Fora Ponta
8097;24/01/2019 - 08:00;205,485;51,03;0;0,97052054;Fora Ponta
8096;24/01/2019 - 07:45;199,185;50,50499999;0;0,96932551;Fora Ponta
8095;24/01/2019 - 07:30;199,08;52,92;0;0,96643768;Fora Ponta
8094;24/01/2019 - 07:15;192,36;50,4;0;0,96734756;Fora Ponta
8093;24/01/2019 - 07:00;191,415;49,98;0;0,96756088;Fora Ponta
8092;24/01/2019 - 06:45;185,115;49,875;0;0,96556815;Fora Ponta
8091;24/01/2019 - 06:30;176,19;47,67;0;0,96529286;Fora Ponta
8090;24/01/2019 - 06:15;171,675;47,565;0;0,96369502;Fora Ponta
8089;24/01/2019 - 06:00;158,34;46,62;0;0,95928442;Fora Ponta
8088;24/01/2019 - 05:45;147,42;44,09999999;0;0,95805136;Fora Ponta
8087;24/01/2019 - 05:30;131,565;37,065;0;0,96253197;Fora Ponta
8086;24/01/2019 - 05:15;124,95;35,175;0;0,96258502;Fora Ponta
8085;24/01/2019 - 05:00;121,695;35,175;0;0,96067488;Fora Ponta
8084;24/01/2019 - 04:45;109,305;34,125;0;0,95456152;Fora Ponta
8083;24/01/2019 - 04:30;106,995;33,81;0;0,95352607;Fora Ponta
8082;24/01/2019 - 04:15;107,1;35,28;0;0,94979478;Fora Ponta
8081;24/01/2019 - 04:00;110,985;36,855;0;0,94904183;Fora Ponta
8080;24/01/2019 - 03:45;105,735;36,64499999;0;0,94486329;Fora Ponta
8079;24/01/2019 - 03:30;107,52;36,015;0;0,94821928;Fora Ponta
8078;24/01/2019 - 03:15;106,365;35,595;0;0,94830817;Fora Ponta
8077;24/01/2019 - 03:00;108,36;36,75;0;0,94701857;Fora Ponta
8076;24/01/2019 - 02:45;105,735;35,805;0;0,94716762;Fora Ponta
8075;24/01/2019 - 02:30;106,785;35,80499999;0;0,94812244;Fora Ponta
8074;24/01/2019 - 02:15;109,935;36,225;0;0,94976623;Fora Ponta
8073;24/01/2019 - 02:00;108,885;36,33;0;0,94859178;Fora Ponta
8072;24/01/2019 - 01:45;108,36;36,12;0;0,94868329;Fora Ponta
8071;24/01/2019 - 01:30;111,09;37,065;0;0,9485936;Fora Ponta
8070;24/01/2019 - 01:15;113,82;37,69499999;0;0,94929452;Fora Ponta
8069;24/01/2019 - 01:00;114,555;37,17;0;0,95118132;Fora Ponta
8068;24/01/2019 - 00:45;113,505;36,75;0;0,95137626;Fora Ponta
8067;24/01/2019 - 00:30;113,085;36,64499999;0;0,95129985;Fora Ponta
8066;24/01/2019 - 00:15;115,395;37,58999999;0;0,95082403;Fora Ponta
8065;24/01/2019 - 00:00;120,75;38,535;0;0,95266431;Fora Ponta
8064;23/01/2019 - 23:45;126,315;38,84999999;0;0,95581336;Fora Ponta
8063;23/01/2019 - 23:30;121,38;38,11499999;0;0,95406788;Fora Ponta
8062;23/01/2019 - 23:15;123,585;38,01;0;0,95581411;Fora Ponta
8061;23/01/2019 - 23:00;119,91;38,22;0;0,95277225;Fora Ponta
8060;23/01/2019 - 22:45;121,59;39,06;0;0,95207987;Fora Ponta
8059;23/01/2019 - 22:30;123,795;39,375;0;0,95295762;Fora Ponta
8058;23/01/2019 - 22:15;128,1;39,48;0;0,95564341;Fora Ponta
8057;23/01/2019 - 22:00;134,085;40,215;0;0,95784692;Fora Ponta
8056;23/01/2019 - 21:45;136,605;40,74;0;0,95829129;Fora Ponta
8055;23/01/2019 - 21:30;135,24;40,425;0;0,95811243;Fora Ponta
8054;23/01/2019 - 21:15;133,56;39,165;0;0,95959342;Fora Ponta
8053;23/01/2019 - 21:00;128,415;38,43;0;0,9580201;Fora Ponta
8052;23/01/2019 - 20:45;131,04;39,58499999;0;0,95727564;Fora Ponta
8051;23/01/2019 - 20:30;131,775;38,85;0;0,95918274;Fora Ponta
8050;23/01/2019 - 20:15;135,03;39,48;0;0,95981589;Fora Ponta
8049;23/01/2019 - 20:00;136,185;39,48;0;0,96045488;Ponta
8048;23/01/2019 - 19:45;140,595;40,425;0;0,96106215;Ponta
8047;23/01/2019 - 19:30;134,61;39,06;0;0,96038503;Ponta
8046;23/01/2019 - 19:15;139,02;39,48;0;0,96196139;Ponta
8045;23/01/2019 - 19:00;142,485;39,26999999;0;0,96405539;Ponta
8044;23/01/2019 - 18:45;144,06;41,47499999;0;0,96096694;Ponta
8043;23/01/2019 - 18:30;144,585;43,155;0;0,95822755;Ponta
8042;23/01/2019 - 18:15;145,32;43,365;0;0,9582445;Ponta
8041;23/01/2019 - 18:00;143,745;43,155;0;0,95776849;Ponta
8040;23/01/2019 - 17:45;147;43,89;0;0,95820221;Ponta
8039;23/01/2019 - 17:30;153,195;47,25;0;0,95558053;Ponta
8038;23/01/2019 - 17:15;151,41;45,045;0;0,95848236;Ponta
8037;23/01/2019 - 17:00;161,805;47,45999999;0;0,95957346;Fora Ponta
8036;23/01/2019 - 16:45;173,25;50,50499999;0;0,96003909;Fora Ponta
8035;23/01/2019 - 16:30;177,135;50,71499999;0;0,96137327;Fora Ponta
8034;23/01/2019 - 16:15;163,59;48,405;0;0,9589036;Fora Ponta
8033;23/01/2019 - 16:00;162,015;46,305;0;0,96150042;Fora Ponta
8032;23/01/2019 - 15:45;154,77;42,945;0;0,96359279;Fora Ponta
8031;23/01/2019 - 15:30;142,065;37,905;0;0,96619937;Fora Ponta
8030;23/01/2019 - 15:15;35,48999999;4,2;0;0,99307014;Fora Ponta
8029;23/01/2019 - 15:00;34,65;3,99;0;0,99343527;Fora Ponta
8028;23/01/2019 - 14:45;33,18;3,57;0;0,99426144;Fora Ponta
8027;23/01/2019 - 14:30;36,855;5,25;0;0,99000582;Fora Ponta
8026;23/01/2019 - 14:15;32,655;5,25;0;0,98732148;Fora Ponta
8025;23/01/2019 - 14:00;42,315;5,88;0;0,99048296;Fora Ponta
8024;23/01/2019 - 13:45;43,89;6,615;0;0,98883199;Fora Ponta
8023;23/01/2019 - 13:30;47,24999999;6,82499999;0;0,98972835;Fora Ponta
8022;23/01/2019 - 13:15;196,56;47,355;0;0,97218423;Fora Ponta
8021;23/01/2019 - 13:00;247,17;61,425;0;0,97048106;Fora Ponta
8020;23/01/2019 - 12:45;244,65;60,58499999;0;0,97067923;Fora Ponta
8019;23/01/2019 - 12:30;238,14;59,535;0;0,9701425;Fora Ponta
8018;23/01/2019 - 12:15;236,775;58,17;0;0,97112241;Fora Ponta
8017;23/01/2019 - 12:00;234,78;58,69499999;0;0,9701425;Fora Ponta
8016;23/01/2019 - 11:45;236,25;59,535;0;0,96968446;Fora Ponta
8015;23/01/2019 - 11:30;232,785;59,745;0;0,96860724;Fora Ponta
8014;23/01/2019 - 11:15;229,95;57,64499999;0;0,96998597;Fora Ponta
8013;23/01/2019 - 11:00;232,47;55,75499999;0;0,97242317;Fora Ponta
8012;23/01/2019 - 10:45;242,865;58,58999999;0;0,97211195;Fora Ponta
8011;23/01/2019 - 10:30;237,3;58,59;0;0,97084591;Fora Ponta
8010;23/01/2019 - 10:15;234,15;57,22499999;0;0,97141016;Fora Ponta
8009;23/01/2019 - 10:00;229,74;56,48999999;0;0,97107506;Fora Ponta
8008;23/01/2019 - 09:45;231,84;57,22499999;0;0,97086239;Fora Ponta
8007;23/01/2019 - 09:30;236,775;57,54;0;0,97171839;Fora Ponta
8006;23/01/2019 - 09:15;230,895;55,86;0;0,9719604;Fora Ponta
