Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5457;26/02/2018 - 20:00;115,92;39,26999999;0;0,94712775;Ponta
5456;26/02/2018 - 19:45;122,85;40,73999999;0;0,94916892;Ponta
5455;26/02/2018 - 19:30;124,95;38,85;0;0,95490734;Ponta
5454;26/02/2018 - 19:15;131,145;42,21;0;0,95190954;Ponta
5453;26/02/2018 - 19:00;125,895;41,055;0;0,95072475;Ponta
5452;26/02/2018 - 18:45;124,845;40,00499999;0;0,95230317;Ponta
5451;26/02/2018 - 18:30;128,835;43,68;0;0,94704996;Ponta
5450;26/02/2018 - 18:15;129,99;45,78;0;0,94321516;Ponta
5449;26/02/2018 - 18:00;138,39;46,725;0;0,94745415;Ponta
5448;26/02/2018 - 17:45;139,755;47,25;0;0,94732232;Ponta
5447;26/02/2018 - 17:30;146,055;48,72;0;0,94861507;Ponta
5446;26/02/2018 - 17:15;150,36;49,14;0;0,95052548;Ponta
5445;26/02/2018 - 17:00;154,035;48,3;0;0,95419018;Fora Ponta
5444;26/02/2018 - 16:45;162,54;51,975;0;0,95248842;Fora Ponta
5443;26/02/2018 - 16:30;166,215;53,34;0;0,95217239;Fora Ponta
5442;26/02/2018 - 16:15;170,835;53,235;0;0,95471981;Fora Ponta
5441;26/02/2018 - 16:00;174,825;52,08;0;0,95837898;Fora Ponta
5440;26/02/2018 - 15:45;181,545;51,45;0;0,96210969;Fora Ponta
5439;26/02/2018 - 15:30;191,205;54,17999999;0;0,96211979;Fora Ponta
5438;26/02/2018 - 15:15;191,415;52,5;0;0,96438437;Fora Ponta
