Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
23123;29/08/2018 - 20:30;113,505;30,13499999;0;0,96651631;Fora Ponta
23122;29/08/2018 - 20:15;119,49;31,70999999;0;0,96654437;Fora Ponta
23121;29/08/2018 - 20:00;110,88;32,12999999;0;0,96048751;Ponta
23120;29/08/2018 - 19:45;112,98;32,97;0;0,95996002;Ponta
23119;29/08/2018 - 19:30;110,985;34,335;0;0,95532842;Ponta
23118;29/08/2018 - 19:15;113,925;33,81;0;0,95867322;Ponta
23117;29/08/2018 - 19:00;113,715;34,545;0;0,95682355;Ponta
23116;29/08/2018 - 18:45;121,17;35,91;0;0,95878134;Ponta
23115;29/08/2018 - 18:30;122,745;33,39;0;0,96493505;Ponta
23114;29/08/2018 - 18:15;121,8;34,125;0;0,9629209;Ponta
23113;29/08/2018 - 18:00;132,615;38,535;0;0,96028052;Ponta
23112;29/08/2018 - 17:45;139,965;38,745;0;0,96375576;Ponta
23111;29/08/2018 - 17:30;146,16;40,32;0;0,96399261;Ponta
23110;29/08/2018 - 17:15;148,26;42,20999999;0;0,96178056;Ponta
23109;29/08/2018 - 17:00;151,935;43,47;0;0,96142359;Fora Ponta
23108;29/08/2018 - 16:45;160,02;44,415;0;0,96357223;Fora Ponta
23107;29/08/2018 - 16:30;164,325;46,935;0;0,96154712;Fora Ponta
23106;29/08/2018 - 16:15;166,005;46,62;0;0,96275502;Fora Ponta
23105;29/08/2018 - 16:00;170,835;48,82499999;0;0,96150164;Fora Ponta
23104;29/08/2018 - 15:45;173,985;48,09;0;0,9638588;Fora Ponta
23103;29/08/2018 - 15:30;172,41;47,565;0;0,96398742;Fora Ponta
23102;29/08/2018 - 15:15;175,77;46,2;0;0,96714933;Fora Ponta
23101;29/08/2018 - 15:00;181,02;46,62;0;0,96839996;Fora Ponta
23100;29/08/2018 - 14:45;186,165;48,93;0;0,96715221;Fora Ponta
23099;29/08/2018 - 14:30;179,55;47,355;0;0,96693522;Fora Ponta
23098;29/08/2018 - 14:15;185,43;46,62;0;0,9698186;Fora Ponta
23097;29/08/2018 - 14:00;180,81;46,515;0;0,96846579;Fora Ponta
23096;29/08/2018 - 13:45;174,615;45,25499999;0;0,96801784;Fora Ponta
23095;29/08/2018 - 13:30;176,4;47,45999999;0;0,96566014;Fora Ponta
23094;29/08/2018 - 13:15;170,205;44,73;0;0,96715949;Fora Ponta
23093;29/08/2018 - 13:00;158,655;42,525;0;0,96590524;Fora Ponta
23092;29/08/2018 - 12:45;156,66;42,42;0;0,96523997;Fora Ponta
23091;29/08/2018 - 12:30;153,825;42,21;0;0,9643525;Fora Ponta
23090;29/08/2018 - 12:15;155,61;42,945;0;0,96396386;Fora Ponta
23089;29/08/2018 - 12:00;154,98;42,84;0;0,96385394;Fora Ponta
23088;29/08/2018 - 11:45;154,77;42,52499999;0;0,9642639;Fora Ponta
23087;29/08/2018 - 11:30;154,035;41,37;0;0,96577448;Fora Ponta
23086;29/08/2018 - 11:15;159,285;43,47;0;0,96471978;Fora Ponta
23085;29/08/2018 - 11:00;158,13;44,415;0;0,9627446;Fora Ponta
23084;29/08/2018 - 10:45;156,975;43,36499999;0;0,96389566;Fora Ponta
23083;29/08/2018 - 10:30;156,45;43,05;0;0,96416402;Fora Ponta
23082;29/08/2018 - 10:15;165,48;43,995;0;0,96642804;Fora Ponta
23081;29/08/2018 - 10:00;159,075;43,68;0;0,96430702;Fora Ponta
23080;29/08/2018 - 09:45;149,52;41,79;0;0,96309034;Fora Ponta
23079;29/08/2018 - 09:30;150,99;40,00499999;0;0,96664651;Fora Ponta
23078;29/08/2018 - 09:15;157,08;40,94999999;0;0,96765847;Fora Ponta
23077;29/08/2018 - 09:00;156,24;39,795;0;0,96906036;Fora Ponta
23076;29/08/2018 - 08:45;147,945;38,745;0;0,96737622;Fora Ponta
23075;29/08/2018 - 08:30;143,22;38,745;0;0,96530073;Fora Ponta
23074;29/08/2018 - 08:15;144,48;38,01;0;0,96709274;Fora Ponta
23073;29/08/2018 - 08:00;139,86;37,485;0;0,9659092;Fora Ponta
23072;29/08/2018 - 07:45;140,805;36,12;0;0,96863712;Fora Ponta
23071;29/08/2018 - 07:30;126,735;31,185;0;0,97103498;Fora Ponta
23070;29/08/2018 - 07:15;120,645;30,975;0;0,96858581;Fora Ponta
23069;29/08/2018 - 07:00;113,085;31,5;0;0,96332544;Fora Ponta
23068;29/08/2018 - 06:45;103,215;29,085;0;0,96251524;Fora Ponta
23067;29/08/2018 - 06:30;91,35;28,665;0;0,95412806;Fora Ponta
23066;29/08/2018 - 06:15;90,72;28,455;0;0,95416503;Fora Ponta
23065;29/08/2018 - 06:00;89,145;27,51;0;0,95553533;Fora Ponta
23064;29/08/2018 - 05:45;87,04499999;24,98999999;0;0,96117314;Fora Ponta
23063;29/08/2018 - 05:30;79,38;24,77999999;0;0,9545698;Fora Ponta
23062;29/08/2018 - 05:15;78,85499999;24,36;0;0,95544831;Fora Ponta
23061;29/08/2018 - 05:00;76,545;23,835;0;0,95478244;Fora Ponta
23060;29/08/2018 - 04:45;74,235;23,52;0;0,95329693;Fora Ponta
23059;29/08/2018 - 04:30;74,655;24,255;0;0,95106355;Fora Ponta
23058;29/08/2018 - 04:15;74,34;23,83499999;0;0,95225221;Fora Ponta
23057;29/08/2018 - 04:00;75,495;24,77999999;0;0,95012687;Fora Ponta
23056;29/08/2018 - 03:45;76,64999999;25,725;0;0,94803196;Fora Ponta
23055;29/08/2018 - 03:30;75,285;25,40999999;0;0,94748727;Fora Ponta
23054;29/08/2018 - 03:15;77,38499999;26,355;0;0,94660821;Fora Ponta
23053;29/08/2018 - 03:00;77,49;26,88;0;0,94477279;Fora Ponta
23052;29/08/2018 - 02:45;79,8;27,195;0;0,94654476;Fora Ponta
23051;29/08/2018 - 02:30;78,015;26,88;0;0,94545408;Fora Ponta
23050;29/08/2018 - 02:15;78,645;27,825;0;0,94273445;Fora Ponta
23049;29/08/2018 - 02:00;78,96;27,19499999;0;0,94549316;Fora Ponta
23048;29/08/2018 - 01:45;76,755;24,67499999;0;0,952015;Fora Ponta
23047;29/08/2018 - 01:30;82,32;24,99;0;0,95688057;Fora Ponta
23046;29/08/2018 - 01:15;92,4;27,29999999;0;0,9590177;Fora Ponta
23045;29/08/2018 - 01:00;81,9;26,67;0;0,95085473;Fora Ponta
23044;29/08/2018 - 00:45;82,63499999;28,35;0;0,94588271;Fora Ponta
23043;29/08/2018 - 00:30;83,685;28,24499999;0;0,94748777;Fora Ponta
23042;29/08/2018 - 00:15;86,73;29,085;0;0,94810782;Fora Ponta
23041;29/08/2018 - 00:00;87,045;28,35;0;0,95084001;Fora Ponta
23040;28/08/2018 - 23:45;91,97999999;29,4;0;0,95252509;Fora Ponta
23039;28/08/2018 - 23:30;90,09;28,665;0;0,95292578;Fora Ponta
23038;28/08/2018 - 23:15;89,88;28,55999999;0;0,95304268;Fora Ponta
23037;28/08/2018 - 23:00;92,085;29,505;0;0,9523106;Fora Ponta
23036;28/08/2018 - 22:45;94,185;29,085;0;0,9554791;Fora Ponta
23035;28/08/2018 - 22:30;98,175;29,505;0;0,95768521;Fora Ponta
23034;28/08/2018 - 22:15;104,055;30,975;0;0,95843633;Fora Ponta
23033;28/08/2018 - 22:00;97,755;28,97999999;0;0,95875654;Fora Ponta
23032;28/08/2018 - 21:45;103,74;30,02999999;0;0,96056426;Fora Ponta
23031;28/08/2018 - 21:30;101,01;29,82;0;0,95907925;Fora Ponta
23030;28/08/2018 - 21:15;104,79;29,4;0;0,96282361;Fora Ponta
23029;28/08/2018 - 21:00;104,685;27,82499999;0;0,96644377;Fora Ponta
23028;28/08/2018 - 20:45;110,985;30,02999999;0;0,96528875;Fora Ponta
23027;28/08/2018 - 20:30;114,555;29,29499999;0;0,96882253;Fora Ponta
23026;28/08/2018 - 20:15;116,025;29,61;0;0,96894453;Fora Ponta
23025;28/08/2018 - 20:00;110,355;30,66;0;0,96350477;Ponta
23024;28/08/2018 - 19:45;113,505;31,18499999;0;0,96426808;Ponta
23023;28/08/2018 - 19:30;111,615;31,29;0;0,9628793;Ponta
23022;28/08/2018 - 19:15;112,875;31,5;0;0,9631963;Ponta
23021;28/08/2018 - 19:00;116,865;32,55;0;0,96333167;Ponta
23020;28/08/2018 - 18:45;118,965;32,55;0;0,96454739;Ponta
23019;28/08/2018 - 18:30;122,01;31,08;0;0,96905366;Ponta
23018;28/08/2018 - 18:15;119,07;32,12999999;0;0,96546763;Ponta
23017;28/08/2018 - 18:00;129,15;37,58999999;0;0,96015722;Ponta
23016;28/08/2018 - 17:45;133,245;37,905;0;0,96183793;Ponta
23015;28/08/2018 - 17:30;142,485;39,69;0;0,96332442;Ponta
23014;28/08/2018 - 17:15;141,12;39,79499999;0;0,96246406;Ponta
23013;28/08/2018 - 17:00;147,21;41,475;0;0,96252782;Fora Ponta
23012;28/08/2018 - 16:45;152,25;44,09999999;0;0,96051769;Fora Ponta
23011;28/08/2018 - 16:30;158,76;43,26;0;0,96482269;Fora Ponta
23010;28/08/2018 - 16:15;159,075;43,47;0;0,96463145;Fora Ponta
23009;28/08/2018 - 16:00;162,12;44,205;0;0,96477823;Fora Ponta
23008;28/08/2018 - 15:45;162,435;43,995;0;0,96522309;Fora Ponta
23007;28/08/2018 - 15:30;165,375;42,735;0;0,9681957;Fora Ponta
23006;28/08/2018 - 15:15;166,11;41,89499999;0;0,96963564;Fora Ponta
23005;28/08/2018 - 15:00;168,84;43,57499999;0;0,96827262;Fora Ponta
23004;28/08/2018 - 14:45;178,815;45,045;0;0,9697055;Fora Ponta
